mH_GeV  XS_pb       Scale_pos	Scale_neg Gauss PDF_plus_alpha_s  PDF alpha_S
120.00 	2.322E+01	+4.5	-7.1 	4.1	3.3	1.9	2.7
120.50 	2.303E+01	+4.5	-7.0 	4.1	3.2	1.9	2.7
121.00 	2.285E+01	+4.5	-7.0 	4.1	3.2	1.9	2.7
121.50 	2.266E+01	+4.5	-7.0 	4.0	3.2	1.9	2.6
122.00 	2.248E+01	+4.5	-7.0 	4.0	3.2	1.9	2.6
122.50 	2.230E+01	+4.5	-7.0 	4.0	3.2	1.9	2.6
123.00 	2.212E+01	+4.5	-7.0 	4.0	3.2	1.9	2.6
123.50 	2.194E+01	+4.5	-6.9 	4.0	3.2	1.9	2.6
124.00 	2.177E+01	+4.5	-6.9 	4.0	3.2	1.9	2.6
124.10 	2.173E+01	+4.5	-6.9 	4.0	3.2	1.9	2.6
124.20 	2.170E+01	+4.5	-6.9 	4.0	3.2	1.9	2.6
124.30 	2.166E+01	+4.5	-6.9 	4.0	3.2	1.9	2.6
124.40 	2.163E+01	+4.5	-6.9 	4.0	3.2	1.9	2.6
124.50 	2.159E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
124.60 	2.156E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
124.70 	2.153E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
124.80 	2.149E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
124.90 	2.146E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
125.00 	2.142E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
125.09 	2.139E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
125.10 	2.139E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
125.20 	2.136E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
125.30 	2.132E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
125.40 	2.129E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
125.50 	2.126E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
125.60 	2.122E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
125.70 	2.119E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
125.80 	2.116E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
125.90 	2.112E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
126.00 	2.109E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
126.50 	2.092E+01	+4.4	-6.9 	4.0	3.2	1.9	2.6
127.00 	2.076E+01	+4.4	-6.8 	3.9	3.2	1.9	2.6
127.50 	2.060E+01	+4.4	-6.8 	3.9	3.2	1.9	2.6
128.00 	2.044E+01	+4.4	-6.8 	3.9	3.2	1.9	2.6
128.50 	2.028E+01	+4.4	-6.8 	3.9	3.2	1.9	2.6
129.00 	2.013E+01	+4.4	-6.8 	3.9	3.2	1.9	2.6
129.50 	1.998E+01	+4.4	-6.8 	3.9	3.2	1.9	2.6
130.00 	1.982E+01	+4.3	-6.7 	3.9	3.2	1.9	2.6
