mH_GeV  XS_pb       Scale_pos	Scale_neg PDF_plus_alpha_s  PDF alpha_S
120.00	5.327E+01	+7.8	-8.2	3.1	1.8	2.5
120.50	5.289E+01	+7.8	-8.2	3.1	1.8	2.5
121.00	5.252E+01	+7.8	-8.2	3.1	1.8	2.5
121.50	5.215E+01	+7.7	-8.2	3.1	1.8	2.5
122.00	5.179E+01	+7.7	-8.2	3.1	1.8	2.5
122.50	5.143E+01	+7.7	-8.2	3.1	1.8	2.5
123.00	5.107E+01	+7.7	-8.2	3.1	1.8	2.5
123.50	5.072E+01	+7.7	-8.2	3.1	1.8	2.5
124.00	5.037E+01	+7.7	-8.2	3.1	1.8	2.5
124.10	5.030E+01	+7.7	-8.2	3.1	1.8	2.5
124.20	5.023E+01	+7.7	-8.1	3.1	1.8	2.5
124.30	5.016E+01	+7.7	-8.1	3.1	1.8	2.5
124.40	5.009E+01	+7.7	-8.1	3.1	1.8	2.5
124.50	5.003E+01	+7.7	-8.1	3.1	1.8	2.5
124.60	4.996E+01	+7.7	-8.1	3.1	1.8	2.5
124.70	4.989E+01	+7.7	-8.1	3.1	1.8	2.5
124.80	4.982E+01	+7.7	-8.1	3.1	1.8	2.5
124.90	4.975E+01	+7.6	-8.1	3.1	1.8	2.5
125.00	4.968E+01	+7.6	-8.1	3.1	1.8	2.5
125.09	4.962E+01	+7.6	-8.1	3.1	1.8	2.5
125.10	4.962E+01	+7.6	-8.1	3.1	1.8	2.5
125.20	4.955E+01	+7.6	-8.1	3.1	1.8	2.5
125.30	4.948E+01	+7.6	-8.1	3.1	1.8	2.5
125.40	4.941E+01	+7.6	-8.1	3.1	1.8	2.5
125.50	4.935E+01	+7.6	-8.1	3.1	1.8	2.5
125.60	4.928E+01	+7.6	-8.1	3.1	1.8	2.5
125.70	4.921E+01	+7.6	-8.1	3.1	1.8	2.5
125.80	4.915E+01	+7.6	-8.1	3.1	1.8	2.5
125.90	4.908E+01	+7.6	-8.1	3.1	1.8	2.5
126.00	4.901E+01	+7.6	-8.1	3.1	1.8	2.5
126.50	4.868E+01	+7.6	-8.1	3.1	1.8	2.5
127.00	4.836E+01	+7.6	-8.1	3.1	1.8	2.5
127.50	4.803E+01	+7.6	-8.1	3.1	1.8	2.5
128.00	4.771E+01	+7.6	-8.1	3.1	1.8	2.5
128.50	4.740E+01	+7.6	-8.1	3.1	1.8	2.5
129.00	4.708E+01	+7.5	-8.0	3.1	1.8	2.5
129.50	4.677E+01	+7.5	-8.0	3.1	1.8	2.5
130.00	4.647E+01	+7.5	-8.0	3.1	1.8	2.5
