mH_GeV  XS_pb       Scale_pos	Scale_neg PDF_plus_alpha_s PDF alpha_S	XS_W_plus_pb  XS_W_minus_pb
120.00	1.724E+00	+0.5	-0.6	1.8	1.6	0.9	1.048E+00	6.761E-01
120.50	1.702E+00	+0.4	-0.7	1.8	1.6	0.9	1.035E+00	6.669E-01
121.00	1.680E+00	+0.5	-0.7	1.8	1.6	0.9	1.022E+00	6.579E-01
121.50	1.657E+00	+0.4	-0.6	1.8	1.6	0.9	1.007E+00	6.497E-01
122.00	1.636E+00	+0.4	-0.6	1.8	1.6	0.9	9.951E-01	6.410E-01
122.50	1.615E+00	+0.4	-0.8	1.8	1.6	0.9	9.823E-01	6.326E-01
123.00	1.595E+00	+0.5	-0.8	1.8	1.6	0.9	9.704E-01	6.242E-01
123.50	1.572E+00	+0.5	-0.6	1.8	1.6	0.9	9.566E-01	6.158E-01
124.00	1.553E+00	+0.5	-0.7	1.8	1.6	0.9	9.457E-01	6.077E-01
124.10	1.549E+00	+0.5	-0.7	1.8	1.6	0.9	9.429E-01	6.061E-01
124.20	1.545E+00	+0.4	-0.7	1.8	1.6	0.9	9.411E-01	6.042E-01
124.30	1.542E+00	+0.4	-0.7	1.8	1.6	0.9	9.392E-01	6.028E-01
124.40	1.537E+00	+0.4	-0.6	1.8	1.6	0.9	9.356E-01	6.014E-01
124.50	1.534E+00	+0.4	-0.8	1.8	1.6	0.9	9.338E-01	5.997E-01
124.60	1.530E+00	+0.4	-0.7	1.8	1.6	0.9	9.310E-01	5.987E-01
124.70	1.526E+00	+0.4	-0.7	1.8	1.6	0.9	9.292E-01	5.965E-01
124.80	1.521E+00	+0.4	-0.7	1.8	1.6	0.9	9.264E-01	5.945E-01
124.90	1.517E+00	+0.4	-0.7	1.8	1.6	0.9	9.246E-01	5.929E-01
125.00	1.513E+00	+0.4	-0.7	1.8	1.6	0.9	9.218E-01	5.912E-01
125.09	1.510E+00	+0.4	-0.7	1.8	1.6	0.9	9.201E-01	5.898E-01
125.10	1.510E+00	+0.4	-0.7	1.8	1.6	0.9	9.201E-01	5.896E-01
125.20	1.506E+00	+0.5	-0.7	1.8	1.6	0.9	9.173E-01	5.888E-01
125.30	1.502E+00	+0.4	-0.8	1.8	1.6	0.9	9.155E-01	5.869E-01
125.40	1.498E+00	+0.4	-0.7	1.8	1.6	0.9	9.127E-01	5.854E-01
125.50	1.494E+00	+0.4	-0.7	1.8	1.6	0.9	9.099E-01	5.841E-01
125.60	1.490E+00	+0.5	-0.6	1.8	1.6	0.9	9.073E-01	5.826E-01
125.70	1.487E+00	+0.5	-0.7	1.8	1.6	0.9	9.054E-01	5.815E-01
125.80	1.483E+00	+0.4	-0.7	1.8	1.6	0.9	9.036E-01	5.796E-01
125.90	1.479E+00	+0.4	-0.7	1.8	1.6	0.9	9.008E-01	5.782E-01
126.00	1.476E+00	+0.4	-0.7	1.8	1.6	0.9	8.990E-01	5.770E-01
126.50	1.456E+00	+0.4	-0.7	1.8	1.6	0.9	8.873E-01	5.692E-01
127.00	1.437E+00	+0.5	-0.7	1.8	1.6	0.9	8.762E-01	5.612E-01
127.50	1.420E+00	+0.4	-0.7	1.8	1.6	0.9	8.655E-01	5.547E-01
128.00	1.401E+00	+0.5	-0.7	1.8	1.6	0.9	8.543E-01	5.472E-01
128.50	1.384E+00	+0.4	-0.8	1.8	1.6	0.9	8.442E-01	5.395E-01
129.00	1.367E+00	+0.5	-0.7	1.8	1.6	0.9	8.341E-01	5.328E-01
129.50	1.350E+00	+0.5	-0.7	1.8	1.6	0.9	8.234E-01	5.262E-01
130.00	1.333E+00	+0.5	-0.7	1.8	1.6	0.9	8.131E-01	5.199E-01
