mH_GeV  llll_e_m_t      llll_e_m    	4e		2e2m		llvv_e_m_t	llvv_e_m	evev		evmv		llqq_e_m_t	llqq_e_m	l+vqq_e_m	vvqq		qqqq		ffff
120.00	1.659E-04	7.524E-05	1.995E-05	3.533E-05	1.526E-02	6.864E-03	1.634E-03	1.656E-03	2.200E-03	1.466E-03	2.060E-02	4.390E-03	7.076E-02	1.553E-01
120.50	1.753E-04	7.950E-05	2.107E-05	3.735E-05	1.598E-02	7.190E-03	1.712E-03	1.733E-03	2.325E-03	1.550E-03	2.155E-02	4.641E-03	7.413E-02	1.626E-01
121.00	1.850E-04	8.387E-05	2.221E-05	3.946E-05	1.673E-02	7.528E-03	1.793E-03	1.812E-03	2.456E-03	1.637E-03	2.254E-02	4.902E-03	7.762E-02	1.703E-01
121.50	1.950E-04	8.837E-05	2.337E-05	4.162E-05	1.749E-02	7.874E-03	1.876E-03	1.894E-03	2.591E-03	1.727E-03	2.355E-02	5.172E-03	8.119E-02	1.781E-01
122.00	2.054E-04	9.304E-05	2.458E-05	4.388E-05	1.828E-02	8.230E-03	1.962E-03	1.977E-03	2.732E-03	1.821E-03	2.459E-02	5.452E-03	8.488E-02	1.862E-01
122.50	2.161E-04	9.785E-05	2.581E-05	4.622E-05	1.908E-02	8.594E-03	2.049E-03	2.063E-03	2.877E-03	1.918E-03	2.565E-02	5.742E-03	8.866E-02	1.944E-01
123.00	2.271E-04	1.028E-04	2.708E-05	4.863E-05	1.990E-02	8.967E-03	2.138E-03	2.150E-03	3.026E-03	2.017E-03	2.674E-02	6.039E-03	9.254E-02	2.029E-01
123.50	2.385E-04	1.079E-04	2.839E-05	5.110E-05	2.074E-02	9.349E-03	2.230E-03	2.240E-03	3.179E-03	2.120E-03	2.785E-02	6.345E-03	9.650E-02	2.115E-01
124.00	2.502E-04	1.131E-04	2.974E-05	5.365E-05	2.160E-02	9.739E-03	2.324E-03	2.331E-03	3.337E-03	2.225E-03	2.898E-02	6.661E-03	1.005E-01	2.204E-01
124.10	2.526E-04	1.142E-04	3.002E-05	5.417E-05	2.178E-02	9.819E-03	2.343E-03	2.350E-03	3.370E-03	2.247E-03	2.921E-02	6.726E-03	1.014E-01	2.222E-01
124.20	2.549E-04	1.153E-04	3.029E-05	5.469E-05	2.195E-02	9.898E-03	2.362E-03	2.368E-03	3.402E-03	2.268E-03	2.944E-02	6.790E-03	1.022E-01	2.240E-01
