mH_GeV 	H_gg 	    Err_Hi  Err_Lo  H_gamgam    Err_Hi  Err_Lo  H_Zgam      Err_Hi  Err_Lo  H_WW        Err_Hi  Err_Lo  H_ZZ        Err_Hi  Err_Lo  Total_Width_GeV Err_Hi Err_Lo
80.0	4.94E-02	+12.02	-11.58	9.18E-04	+6.34	-6.15	0.00E+00	+0.00	-0.00	6.27E-04	+5.89	-5.73	1.64E-04	+5.79	-5.63	1.99E-03	+5.29	-5.24
81.0	5.05E-02	+11.99	-11.55	9.46E-04	+6.32	-6.15	0.00E+00	+0.00	-0.00	6.96E-04	+5.86	-5.72	1.81E-04	+5.75	-5.62	2.01E-03	+5.28	-5.21
82.0	5.17E-02	+11.97	-11.56	9.74E-04	+6.31	-6.16	0.00E+00	+0.00	-0.00	7.74E-04	+5.89	-5.73	1.99E-04	+5.78	-5.63	2.04E-03	+5.28	-5.24
83.0	5.28E-02	+11.96	-11.53	1.00E-03	+6.38	-6.13	0.00E+00	+0.00	-0.00	8.61E-04	+5.85	-5.73	2.18E-04	+5.75	-5.63	2.06E-03	+5.29	-5.20
84.0	5.40E-02	+11.95	-11.52	1.03E-03	+6.30	-6.11	0.00E+00	+0.00	-0.00	9.61E-04	+5.89	-5.74	2.40E-04	+5.80	-5.64	2.08E-03	+5.29	-5.24
85.0	5.51E-02	+11.92	-11.51	1.06E-03	+6.34	-6.15	0.00E+00	+0.00	-0.00	1.08E-03	+5.85	-5.73	2.63E-04	+5.76	-5.65	2.11E-03	+5.29	-5.21
86.0	5.63E-02	+11.92	-11.48	1.09E-03	+6.32	-6.07	0.00E+00	+0.00	-0.00	1.21E-03	+5.88	-5.69	2.88E-04	+5.79	-5.61	2.13E-03	+5.25	-5.23
87.0	5.75E-02	+11.88	-11.48	1.12E-03	+6.37	-6.12	0.00E+00	+0.00	-0.00	1.37E-03	+5.85	-5.74	3.16E-04	+5.77	-5.65	2.15E-03	+5.29	-5.21
88.0	5.87E-02	+11.88	-11.44	1.15E-03	+6.27	-6.23	0.00E+00	+0.00	-0.00	1.56E-03	+5.88	-5.67	3.47E-04	+5.80	-5.59	2.18E-03	+5.22	-5.24
89.0	5.99E-02	+11.85	-11.43	1.19E-03	+6.29	-6.14	0.00E+00	+0.00	-0.00	1.79E-03	+5.81	-5.73	3.80E-04	+5.73	-5.65	2.20E-03	+5.28	-5.17
90.0	6.12E-02	+11.83	-11.43	1.22E-03	+6.21	-6.17	0.00E+00	+0.00	-0.00	2.07E-03	+5.85	-5.69	4.17E-04	+5.78	-5.61	2.22E-03	+5.25	-5.21
91.0	6.24E-02	+11.81	-11.41	1.25E-03	+6.25	-6.15	0.00E+00	+0.00	-0.00	2.41E-03	+5.81	-5.69	4.57E-04	+5.74	-5.62	2.25E-03	+5.25	-5.17
92.0	6.36E-02	+11.79	-11.37	1.29E-03	+6.24	-6.17	5.09E-08	+10.29	-10.09	2.83E-03	+5.85	-5.64	5.02E-04	+5.78	-5.58	2.27E-03	+5.20	-5.21
93.0	6.49E-02	+11.77	-11.36	1.32E-03	+6.26	-6.10	5.17E-07	+10.29	-10.10	3.33E-03	+5.85	-5.62	5.50E-04	+5.79	-5.56	2.30E-03	+5.18	-5.21
94.0	6.61E-02	+11.75	-11.35	1.36E-03	+6.29	-6.07	1.85E-06	+10.26	-10.11	3.94E-03	+5.85	-5.65	6.05E-04	+5.79	-5.58	2.32E-03	+5.20	-5.21
95.0	6.74E-02	+11.73	-11.32	1.39E-03	+6.25	-6.11	4.48E-06	+10.25	-10.11	4.68E-03	+5.80	-5.64	6.65E-04	+5.72	-5.59	2.35E-03	+5.21	-5.14
96.0	6.87E-02	+11.70	-11.29	1.43E-03	+6.18	-6.12	8.78E-06	+10.27	-10.08	5.55E-03	+5.80	-5.63	7.33E-04	+5.75	-5.58	2.37E-03	+5.20	-5.17
97.0	6.99E-02	+11.68	-11.28	1.46E-03	+6.25	-6.05	1.51E-05	+10.25	-10.10	6.60E-03	+5.80	-5.60	8.11E-04	+5.75	-5.55	2.40E-03	+5.17	-5.17
98.0	7.12E-02	+11.66	-11.26	1.50E-03	+6.26	-6.06	2.38E-05	+10.22	-10.07	7.83E-03	+5.75	-5.59	9.00E-04	+5.71	-5.55	2.43E-03	+5.16	-5.13
