mH_GeV  XS_pb
120.00  2.961E-02
120.50  2.938E-02
121.00  2.931E-02
121.50  2.909E-02
122.00  2.896E-02
122.50  2.876E-02
123.00  2.851E-02
123.50  2.841E-02
124.00  2.839E-02
124.10  2.822E-02
124.20  2.822E-02
124.30  2.817E-02
124.40  2.817E-02
124.50  2.814E-02
124.60  2.814E-02
124.70  2.809E-02
124.80  2.792E-02
124.90  2.792E-02
125.00  2.789E-02
125.09  2.792E-02
125.10  2.789E-02
125.20  2.789E-02
125.30  2.787E-02
125.40  2.784E-02
125.50  2.782E-02
125.60  2.782E-02
125.70  2.782E-02
125.80  2.779E-02
125.90  2.762E-02
126.00  2.760E-02
126.50  2.752E-02
127.00  2.730E-02
127.50  2.722E-02
128.00  2.697E-02
128.50  2.690E-02
129.00  2.665E-02
129.50  2.645E-02
130.00  2.635E-02
